,date,tic,open,high,low,close,volume,macd,rsi_30,cci_30,dx_30
1194,2013-10-01,^DJI,15132.490234375,15208.400390625,15110.33984375,15191.7001953125,82460000,23.186418742890964,49.28847873155262,4.049626799349727,18.011696569367132
1195,2013-10-02,^DJI,15182.650390625,15182.650390625,15044.7099609375,15133.1396484375,86090000,9.16713464071654,47.982785599611425,-11.789352969642982,23.243623714346263
1196,2013-10-03,^DJI,15127.23046875,15127.23046875,14947.0302734375,14996.48046875,91300000,-12.822690709457675,45.098646787115065,-42.07890330044165,30.318126701051906
1197,2013-10-04,^DJI,14994.6796875,15083.990234375,14972.330078125,15072.580078125,75100000,-23.834434715041425,46.93602006938048,-37.635644301388815,30.318126701051913
1198,2013-10-07,^DJI,15069.2998046875,15069.2998046875,14920.830078125,14936.240234375,79620000,-43.066364879357934,44.19476886223102,-58.07751212444219,33.98386874113397
1199,2013-10-08,^DJI,14938.0400390625,14938.0400390625,14773.4697265625,14776.5302734375,102690000,-70.38372739194892,41.2736582204171,-99.09756521984951,43.13408267017997
1200,2013-10-09,^DJI,14778.1904296875,14852.5,14719.4296875,14802.98046875,103190000,-88.87413853908583,41.93122511469586,-109.49841505403883,46.064660732223345
1201,2013-10-10,^DJI,14806.3896484375,15126.0703125,14806.3896484375,15126.0703125,106540000,-76.57456841460225,49.12895189622619,-44.85794221229013,14.212901875770331
1202,2013-10-11,^DJI,15126.51953125,15237.2998046875,15100.1298828125,15237.1103515625,85730000,-57.20761356661933,51.27615820503668,4.583149769840413,4.325266316159785
1203,2013-10-14,^DJI,15231.330078125,15309.48046875,15136.3798828125,15301.259765625,81420000,-36.264802651487116,52.47499914936934,19.198906820321753,1.5849505177316308
1204,2013-10-15,^DJI,15300.2998046875,15301.91015625,15161.330078125,15168.009765625,91440000,-30.07297298690719,49.83991138275862,2.2795603096774264,1.584950517731646
1205,2013-10-16,^DJI,15170.7001953125,15374.150390625,15170.7001953125,15373.830078125,92850000,-8.460398058969076,53.56576042369528,32.76188587799214,7.573169038111492
1206,2013-10-17,^DJI,15369.4599609375,15376.1103515625,15229.01953125,15371.650390625,108490000,8.395067603194548,53.522206205373934,36.542326277265055,7.735986295135716
1207,2013-10-18,^DJI,15371.7099609375,15412.9697265625,15321.8095703125,15399.650390625,156660000,23.738864716247917,54.01903650188287,53.084316486398365,10.891610038154239
1208,2013-10-21,^DJI,15401.3203125,15410.1796875,15362.66015625,15392.2001953125,93660000,34.89551223326998,53.860559476700935,53.756894093097145,10.891610038154234
1209,2013-10-22,^DJI,15394.2197265625,15518.099609375,15394.2197265625,15467.66015625,107030000,49.258403756057305,55.23654926040215,78.3378934778623,20.041172680180875
1210,2013-10-23,^DJI,15465.33984375,15465.66015625,15366.1904296875,15413.330078125,90630000,55.61600878808531,54.036289042771116,56.83085835245438,16.71397298126156
1211,2013-10-24,^DJI,15414.8701171875,15528.6298828125,15414.1298828125,15509.2099609375,89240000,67.61177536189098,55.79008464797065,79.6368575076556,21.911749821932748
1212,2013-10-25,^DJI,15523.7197265625,15570.599609375,15512.9599609375,15570.2802734375,109900000,81.11136925462233,56.874325332326066,99.93929582620724,25.236090439525526
1213,2013-10-28,^DJI,15569.1904296875,15599.08984375,15533.48046875,15568.9296875,92760000,90.65588901881893,56.84243243253711,103.2121247872997,27.476473682232616
1214,2013-10-29,^DJI,15572.2099609375,15683.080078125,15572.2099609375,15680.349609375,86600000,105.98887247060884,58.813478381949714,128.2669587803354,33.734195515396955
1215,2013-10-30,^DJI,15680.740234375,15721.0,15574.51953125,15618.759765625,79170000,111.88089336621852,57.3165892407623,125.07130963218479,36.383368675508336
